World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.4: Outbound tourism - Total expenditure - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
600;Paraguay;173;185;211;223;181;154;130;117;115;121;130;144;184;214;231;261;308;363;425;449;494;512;545
604;Peru;428;492;608;642;652;641;773;806;847;852;970;1.047;1.243;1.432;1.404;1.640;1.768;1.900;2.119;2.119;2.527;2.687;2.916
608;Philippines;551;1.287;1.969;2.022;1.737;1.841;1.918;1.874;1.649;1.526;3.286;3.075;3.351;4.285;4.056;5.964;6.055;7.140;8.400;11.130;11.868;11.681;12.496
616;Poland;5.865;6.357;5.855;4.524;3.810;3.417;3.595;3.440;3.286;5.092;5.894;7.653;8.339;10.689;7.891;9.100;8.882;9.129;9.132;9.540;8.523;8.617;9.547
620;Portugal;2.539;2.701;2.491;2.776;2.757;2.753;2.604;2.631;2.981;3.367;3.742;4.146;4.866;5.286;4.605;4.692;4.948;4.485;4.978;5.380;4.782;4.908;5.647
630;Puerto Rico;1.155;1.137;1.235;1.242;1.172;1.333;1.456;1.319;1.420;1.584;1.663;1.752;1.743;1.761;1.386;1.180;1.196;1.156;1.139;1.088;977;1.013;..
634;Qatar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.813;10.702;11.729;12.871;11.641;13.152;12.284
638;Reunion;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
642;Romania;749;716;699;504;428;447;475;448;572;672;1.071;1.457;1.723;2.407;1.766;1.897;2.294;2.108;2.176;2.636;2.330;2.464;4.228
643;Russian Federation;..;..;..;..;..;..;9.760;11.362;13.427;16.082;17.963;18.850;22.456;26.401;23.785;30.169;37.343;48.096;59.504;55.383;38.434;27.653;35.585
646;Rwanda;13;19;22;25;28;35;33;..;..;..;75;84;98;146;148;120;142;133;126;133;295;309;347
461;Saba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
659;Saint Kitts And Nevis;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
662;Saint Lucia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
670;Saint Vincent And The Grenadines;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
882;Samoa;7;9;12;11;4;..;..;..;..;12;20;21;20;22;20;25;22;22;14;4;3;2;..
674;San Marino;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
678;Sao Tome And Principe;..;..;..;2;2;2;2;2;2;2;1;1;1;0;0;1;1;3;3;18;22;21;17
